step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
681,PAYMENT,1544.15,C1398402934,140180.0,138635.85,M2033933574,0.0,0.0,0,0
681,CASH_OUT,2981.96,C1834592362,96110.0,93128.04,C852437627,192881.1,195863.06,0,0
681,PAYMENT,6883.58,C31499849,93128.04,86244.46,M492755804,0.0,0.0,0,0
681,CASH_OUT,581379.97,C1043232412,21294.0,0.0,C1451660934,0.0,581379.97,0,0
681,CASH_OUT,236356.44,C513053643,56820.0,0.0,C1513761394,759608.51,995964.95,0,0
681,CASH_OUT,41533.13,C440581310,15826.0,0.0,C1672681195,188054.68,229587.81,0,0
681,PAYMENT,42285.59,C1907167377,292.0,0.0,M1014629038,0.0,0.0,0,0
681,CASH_OUT,41802.59,C105567265,31353.0,0.0,C1553948874,26366.4,68169.0,0,0
681,CASH_OUT,123918.08,C157429530,32943.0,0.0,C745107469,0.0,123918.08,0,0
681,CASH_OUT,378955.69,C282238783,250282.0,0.0,C418327488,408434.15,787389.83,0,0
681,CASH_OUT,353985.8,C2094108921,30147.0,0.0,C1746333445,1370889.66,1724875.46,0,0
681,CASH_OUT,78399.99,C753580190,0.0,0.0,C2044625624,573883.19,652283.19,0,0
681,CASH_IN,101257.32,C887642342,49642.0,150899.32,C1882922330,0.0,0.0,0,0
681,PAYMENT,7561.32,C818352675,150899.32,143338.0,M1088494234,0.0,0.0,0,0
681,PAYMENT,4315.4,C968258640,40321.0,36005.6,M1341076712,0.0,0.0,0,0
681,CASH_OUT,48282.31,C1202807100,79202.0,30919.69,C1211048739,125777.75,174060.06,0,0
681,PAYMENT,8471.25,C265066138,30919.69,22448.44,M89290695,0.0,0.0,0,0
681,PAYMENT,13665.51,C858545137,5561.0,0.0,M2136503337,0.0,0.0,0,0
681,CASH_OUT,256801.79,C340477214,0.0,0.0,C628323167,416978.19,673779.98,0,0
681,PAYMENT,9832.46,C45212703,9257.0,0.0,M1402193003,0.0,0.0,0,0
681,CASH_OUT,126528.91,C1876302604,49463.0,0.0,C881930,3804463.0,3930991.9,0,0
681,CASH_OUT,266272.22,C570146909,13982.0,0.0,C1655752997,55043.8,321316.03,0,0
681,CASH_OUT,49285.5,C753355105,0.0,0.0,C591032,54795.3,104080.8,0,0
681,CASH_IN,297363.78,C1629122570,8027.0,305390.78,C419025188,392946.51,95582.73,0,0
681,PAYMENT,8583.55,C1053497694,305390.78,296807.23,M1104007154,0.0,0.0,0,0
681,PAYMENT,15702.32,C1475820267,296807.23,281104.91,M1700760127,0.0,0.0,0,0
681,PAYMENT,15028.2,C54029859,281104.91,266076.71,M740656105,0.0,0.0,0,0
681,PAYMENT,5422.49,C1122751716,266076.71,260654.22,M1534894324,0.0,0.0,0,0
681,PAYMENT,6843.11,C469075150,260654.22,253811.11,M458192530,0.0,0.0,0,0
681,PAYMENT,5696.85,C119528939,120615.0,114918.15,M962246396,0.0,0.0,0,0
681,CASH_OUT,250259.25,C238978797,114918.15,0.0,C550352093,490821.7,741080.94,0,0
681,PAYMENT,11449.3,C1847958110,1584.0,0.0,M397210356,0.0,0.0,0,0
681,PAYMENT,16809.59,C2066570155,560.0,0.0,M31368141,0.0,0.0,0,0
681,PAYMENT,10612.21,C1139490498,171704.0,161091.79,M857755417,0.0,0.0,0,0
681,CASH_OUT,47748.2,C574733013,20534.0,0.0,C669763464,199933.18,247681.38,0,0
681,PAYMENT,7526.27,C1450550683,220.0,0.0,M1290968249,0.0,0.0,0,0
681,PAYMENT,29498.62,C2107333305,143250.0,113751.38,M1386463437,0.0,0.0,0,0
681,CASH_OUT,493531.4,C687992447,52283.0,0.0,C332700383,970313.18,1463844.58,0,0
681,CASH_IN,250269.87,C1900984498,5021.0,255290.87,C1421578033,108449.0,0.0,0,0
681,PAYMENT,10314.13,C1445427888,21720.0,11405.87,M449735953,0.0,0.0,0,0
681,PAYMENT,4417.95,C1008343585,11405.87,6987.92,M940949048,0.0,0.0,0,0
681,PAYMENT,13464.35,C1426760048,6987.92,0.0,M1011214373,0.0,0.0,0,0
681,CASH_OUT,142924.69,C1348609694,422.0,0.0,C1877734125,5373691.83,5516616.53,0,0
681,PAYMENT,5015.63,C1167308500,21522.0,16506.37,M1167236663,0.0,0.0,0,0
681,CASH_IN,20755.86,C1443189344,20929.0,41684.86,C2025727839,0.0,0.0,0,0
681,CASH_OUT,253510.88,C387107048,156412.0,0.0,C985664677,0.0,253510.88,0,0
681,CASH_OUT,280091.24,C1341123016,0.0,0.0,C781939819,805236.66,1085327.9,0,0
681,CASH_OUT,153787.94,C509453604,224.0,0.0,C1725838501,1612739.32,1766527.26,0,0
681,CASH_OUT,526272.9,C1647801053,0.0,0.0,C2109335905,1773977.02,2300249.92,0,0
681,CASH_OUT,91629.52,C1667474427,0.0,0.0,C770789527,269837.31,361466.83,0,0
681,PAYMENT,16304.69,C1408411638,724.0,0.0,M552950825,0.0,0.0,0,0
681,PAYMENT,7948.16,C2039309168,0.0,0.0,M126843841,0.0,0.0,0,0
681,PAYMENT,19971.01,C1099215313,105983.0,86011.99,M1260042716,0.0,0.0,0,0
681,PAYMENT,2240.83,C1495192876,86011.99,83771.17,M632552637,0.0,0.0,0,0
681,PAYMENT,67186.33,C1105058787,83771.17,16584.84,M1595362909,0.0,0.0,0,0
681,CASH_OUT,190783.21,C1880053542,12492.0,0.0,C1589345714,507442.73,698225.95,0,0
681,CASH_IN,167998.19,C1248009102,34098.0,202096.19,C735856978,0.0,0.0,0,0
681,PAYMENT,9328.0,C1699664866,202096.19,192768.19,M5119152,0.0,0.0,0,0
681,CASH_OUT,13120.1,C183684600,46814.0,33693.9,C1116947845,216666.72,229786.81,0,0
681,PAYMENT,3405.25,C1478432835,26641.0,23235.75,M1272775009,0.0,0.0,0,0
681,CASH_OUT,208722.63,C990265142,72493.0,0.0,C1566724247,354358.8,563081.43,0,0
681,PAYMENT,17351.19,C654813347,77373.0,60021.81,M125460736,0.0,0.0,0,0
681,PAYMENT,16548.17,C605011591,362.0,0.0,M788191935,0.0,0.0,0,0
681,TRANSFER,577424.75,C874659187,0.0,0.0,C1863013067,1475414.39,2052839.14,0,0
681,TRANSFER,3720083.82,C1619273878,0.0,0.0,C1448542929,5729064.62,9449148.44,0,0
681,TRANSFER,2374069.26,C967199111,0.0,0.0,C1371360536,3930152.17,6304221.43,0,0
681,TRANSFER,2106304.72,C1106330414,0.0,0.0,C1356054329,6328855.97,8435160.69,0,0
681,TRANSFER,1414542.91,C1679632326,0.0,0.0,C342107973,4529466.74,5944009.66,0,0
681,TRANSFER,775129.98,C622621515,0.0,0.0,C952422343,1172207.91,1947337.89,0,0
681,TRANSFER,385834.24,C788397086,0.0,0.0,C21205037,2819653.71,3205487.94,0,0
681,TRANSFER,288319.96,C1709060828,0.0,0.0,C1721754867,1063658.63,1351978.59,0,0
681,TRANSFER,230609.99,C1752173238,0.0,0.0,C1739991429,602800.43,833410.42,0,0
681,TRANSFER,901747.97,C783334104,0.0,0.0,C335924031,9752844.14,1.065459211E7,0,0
681,TRANSFER,178475.4,C1877786140,0.0,0.0,C197150746,8727471.03,8905946.43,0,0
681,TRANSFER,477520.41,C2066758127,0.0,0.0,C2047483413,6873519.86,7351040.27,0,0
681,TRANSFER,1489535.86,C327002501,0.0,0.0,C738913501,1878818.87,3368354.73,0,0
681,TRANSFER,764843.63,C942716744,0.0,0.0,C1795572566,3791445.59,4556289.22,0,0
681,TRANSFER,715925.91,C849801740,0.0,0.0,C1670254523,2054401.72,2770327.62,0,0
681,TRANSFER,154253.79,C1218665206,0.0,0.0,C694579251,481877.63,636131.43,0,0
681,TRANSFER,384215.49,C913105894,0.0,0.0,C661225488,640000.03,1024215.52,0,0
681,TRANSFER,206236.58,C190548116,0.0,0.0,C1729510069,3692420.38,3898656.95,0,0
681,TRANSFER,507740.29,C250096993,0.0,0.0,C1667065306,1418307.86,1926048.15,0,0
681,TRANSFER,856904.26,C1557045920,0.0,0.0,C1613472133,2738379.07,3595283.33,0,0
681,TRANSFER,348958.87,C225188108,0.0,0.0,C265704031,1829037.54,2177996.42,0,0
681,CASH_OUT,98425.64,C1520709405,54551.0,0.0,C1576907102,229248.58,327674.23,0,0
681,CASH_IN,224713.41,C367563277,82386.0,307099.41,C88194595,251833.88,27120.47,0,0
681,CASH_IN,110000.65,C1016785330,9993.0,119993.65,C1705877959,174450.75,64450.1,0,0
681,CASH_IN,128178.42,C1364403028,119993.65,248172.07,C295402097,578819.65,450641.23,0,0
681,CASH_IN,124523.8,C712254116,248172.07,372695.88,C1762235421,401955.91,277432.11,0,0
681,CASH_IN,168251.22,C2069734685,372695.88,540947.1,C653180110,289044.94,120793.72,0,0
681,CASH_IN,519507.6,C283182269,540947.1,1060454.7,C2103794320,574530.61,55023.01,0,0
681,CASH_IN,18549.32,C1491127414,1060454.7,1079004.02,C1841177067,191385.97,172836.65,0,0
681,CASH_IN,117515.91,C1393206476,1079004.02,1196519.93,C1021728931,179296.77,61780.86,0,0
681,CASH_IN,144948.73,C1172932349,1196519.93,1341468.66,C936157761,686142.43,541193.7,0,0
681,CASH_IN,73671.49,C1563797009,1341468.66,1415140.15,C1479667409,200062.03,126390.54,0,0
681,CASH_IN,71212.5,C65557181,1415140.15,1486352.65,C407402467,1718919.23,1647706.73,0,0
681,CASH_IN,208525.84,C88259272,1486352.65,1694878.49,C836922763,698722.27,490196.43,0,0
681,CASH_IN,73768.99,C211098355,1694878.49,1768647.48,C696382907,103654.16,29885.17,0,0
681,CASH_IN,115470.82,C2086674526,1768647.48,1884118.3,C1616278321,300470.71,184999.9,0,0
681,CASH_IN,177481.36,C1029499093,1884118.3,2061599.66,C287801656,658386.12,480904.76,0,0
681,CASH_IN,140674.04,C760774988,2061599.66,2202273.7,C1992673141,1338659.1,1197985.06,0,0
681,CASH_IN,64076.02,C155079830,2202273.7,2266349.72,C1651647466,337995.06,273919.05,0,0
681,CASH_IN,53202.22,C1948383039,2266349.72,2319551.94,C697256275,940684.02,887481.8,0,0
681,CASH_IN,342523.38,C786543406,2319551.94,2662075.32,C978140621,2238747.76,1896224.38,0,0
681,CASH_IN,47669.07,C1205470559,2662075.32,2709744.39,C1252296828,362056.42,314387.35,0,0
681,CASH_IN,686877.96,C1010529238,2709744.39,3396622.34,C698304718,2996906.9,2310028.94,0,0
681,CASH_OUT,444346.12,C1197007713,9919.0,0.0,C732104967,510141.08,954487.2,0,0
681,PAYMENT,17896.23,C1677934695,453.0,0.0,M1935954245,0.0,0.0,0,0
681,CASH_OUT,203415.53,C338049340,25036.0,0.0,C1439395432,0.0,203415.53,0,0
681,CASH_IN,72842.47,C342197042,10510.0,83352.47,C1512724015,44274.64,0.0,0,0
681,PAYMENT,3401.12,C1788602785,87261.0,83859.88,M992244686,0.0,0.0,0,0
